UID        PID  PPID  C STIME TTY          TIME CMD
root     15743 15574  0 13:14 ?        00:00:00 opmantek.pl webserver           
root     15825     2  0 14:26 ?        00:00:00 [kworker/1:0]
root     16111  1042  0 11:04 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/li
admin    16288     1  0 09:36 ?        00:00:00 /usr/libexec/webkit2gtk-4.0/WebK
root     18178     2  0 13:44 ?        00:00:00 [kworker/0:1]
root     21969     2  0 14:29 ?        00:00:00 [kworker/2:2]
root     24319     2  0 14:30 ?        00:00:00 [kworker/0:0]
admin    24582 14850  0 14:30 ?        00:00:01 /usr/lib/jvm/java-1.8.0-openjdk-
mysql    26339     1  0 11:37 ?        00:00:00 /bin/sh /usr/bin/mysqld_safe --b
mysql    26501 26339  0 11:37 ?        00:00:10 /usr/libexec/mysqld --basedir=/u
root     26853     2  0 14:31 ?        00:00:00 [kworker/1:2]
root     29038     2  0 14:32 ?        00:00:00 [kworker/1:3]
admin    29086     1  1 14:32 ?        00:00:00 /usr/bin/gedit --gapplication-se
root     29497     1  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
apache   29499 29497  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
apache   29500 29497  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
apache   29501 29497  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
apache   29502 29497  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
apache   29504 29497  0 11:38 ?        00:00:00 /usr/sbin/httpd -DFOREGROUND
root     30246   861  0 14:32 ?        00:00:00 sleep 60
admin    30317 12594  0 14:32 pts/1    00:00:00 ps -ef
